content,topics,sentiment,labels
"mẫu mã đẹp, nhưng chât liệu thấy mỏng manh, không dày dặng.",Product,Good,0
máy ép thật sự ưng lắm mọi người ép ra rất nhiều chất xơ nhiều nước,Quality,Good,1
chảo nhỏ gọn,Product,Good,0
hàng tốt ,Quality,Good,1
"chảo khá đẹp, giao hàng nhanh , ko bị móp méo, đang nghiên cứu mua tiếp bộ khác bổ sung cho bếp nhà",Product,Good,0
really great quality!,Quality,Good,1
"k phải nấu sữa hạt j cũng dc đâu nhé. máy chỉ có 2 chương trình nấu sữa: đậu nành và bắp. muốn nấu sữa khác phải chọn 1 trong 2 rồi khi máy nấu là ngồi canh. vì nếu chương trình k phù hợp là bị trào ra ngoài ở nắp bên trên. rất may là m nấu lần đầu nên ngồi canh máy, k thì hư cái máy luôn rồi huhu",Quality,Bad,1
máy chạy rất êm. nấu sữa rất mịn.,Quality,Good,1
"cối xay sinh tố nhuyễn mịn, tạm thời là vậy",Quality,Good,1
đẹp lắm nha mọi người.chắc chắn cực kì. sẽ ủng hộ shop tiếp ạ. cho shop 5 sao................,Product,Good,0
nồi nấu cơm rất ngon và dễ vệ sinh. lòng nồi chắc bằng gang vì rất dày nặng và không tạo cháy… đúng theo mô tả và tiếng việt nên bố mẹ mình cảm thấy rất dễ sử dụng. điểm yếu duy nhất là khi mở nắp nước đổ xuống cái thành nồi tuy không tràn xuống máy nhưng phải lấy khăn lau. mua hơn 2tr1 sau khi áp rata nhiều mã giảm giá. còn được tặng máy sinh tố nên thấy quá hời :),Quality,Good,1
"tuyệt lắm lun ạ, mãi yêu shop. cả nhà ưng bụng lắm, cứ khen miếc thôi. giao hàng sớm nữq, 100đ chất lượng",Quality,Good,1
"shop đóng gói cẩn thận, giao hàng nhanh. sản phẩm đúng mẫu mô tả. đã mua hàng of shop nhiều lần và luôn yên tâm về chất lượng",Logistic,Good,2
chảo nhỏ đẹp,Product,Good,0
sản phẩm đẹp gói kỹ. người dao hàng nhiệt tình thân thiện mới sài thấy cug ok kog bít thời gian thì sao nhưng hiện tại là ok.món quà rất xinh.cảm ơn shop .kog có đồ hứng nước khi nấu chín mồ hôi nó chảy nước xuống ước. tưởng đâu đc 4 sao ai nè có 2 sao à .,Product,Good,0
"đóng gói cẩn thận, giao hàng nhiệt tình, thân thiện. máy êm, dùng thích lắm, mọi ng nên mua, sẽ mua ủng hộ shop",Quality,Good,1
"sản phẩm đẹp, dùng ổn áp, giao hàng nhanh, sẽ tiếp tục ủng hộ shop. mình lấy hình bộ nồi thay cho chảo ",Product,Good,0
"nhận được hàng nhanh, đóng gói cẩn thận chảo nhìn đẹp, nhẹ có vẻ mỏng hơn so với chảo trước đây từng mua nhưng mua 1 được tặng 1 thì cũng ok, hi vọng người nhà thích",Product,Good,0
nồi dùng hiện mình thấy ok nhueng còn hơi mùi nhựa nhiều. mình săn dc giá 2tr3 nên khá hợp lí. giao hàng nhanh. ,Quality,Good,1
"ok. giá cũng tốt.
",Sale,Good,3
